/home/yuke/.graphs/orig/
dataset,origin,origin_eff,reduced,reduced_eff,reduction (%)
citeseer,6918,0.00,659,0.04,90.47
cora,6509,0.00,681,0.04,89.54
pubmed,81244,0.00,6045,0.02,92.56
ppi,191099,0.00,41385,0.06,78.34
PROTEINS_full,11550,0.00,7099,0.14,38.54
OVCAR-8H,354762,0.00,232315,0.02,34.52
Yeast,269388,0.00,211322,0.04,21.55
DD,257135,0.00,70117,0.07,72.73
YeastH,556411,0.00,379450,0.01,31.80
SW-620H,354906,0.00,232240,0.05,34.56
amazon0505,2423308,0.00,234206,0.27,90.34
artist,1359243,0.00,101578,0.05,92.53
com-amazon,1800563,0.00,124398,0.06,93.09
web-BerkStan,931079,0.00,356166,0.37,61.75
soc-BlogCatalog,696796,0.00,103102,0.05,85.20
amazon0601,1583654,0.00,160373,0.04,89.87
